timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-29T23:23:17,codecarbon,0d48ed3a-6615-4559-95e2-690c3155436c,3.9918273999996927,1.9026362694246355e-05,4.766328998655558e-06,42.5,0.0,5.971029281616211,4.712317243055237e-05,0,6.6079812005842e-06,5.373115363113657e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:26:55,codecarbon,9b524166-f3e1-4b9e-a78a-418850e64e34,5.007988899999873,2.3871489043275103e-05,4.766681699968566e-06,42.5,0.0,5.971029281616211,5.911983986110336e-05,0,8.294130207704596e-06,6.741397006880796e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:30:49,codecarbon,6abf5b6f-e52e-4190-9994-144b27be2cd8,5.008400500000789,2.3872948531194847e-05,4.766581372873652e-06,42.5,0.0,5.971029281616211,5.912353972222365e-05,0,8.294551994578658e-06,6.741809171680231e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:32:18,codecarbon,b588029e-b166-4acf-9dd8-fdb4aae6eb13,5.007886400000643,2.387112950234473e-05,4.766707468113026e-06,42.5,0.0,5.971029281616211,5.911867937500309e-05,0,8.294275336887874e-06,6.741295471189096e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:33:45,codecarbon,026c4e55-426f-45e0-8297-f31a4b0b9d14,5.008771499999966,2.3874570358520107e-05,4.76655210933864e-06,42.5,0.0,5.971029281616211,5.912858423610664e-05,0,8.294087581189751e-06,6.74226718172964e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:37:48,codecarbon,658a31c3-51a3-4640-9eab-d370c8209ddb,5.007558000000245,2.3869952450476355e-05,4.766785017862037e-06,42.5,0.0,5.971029281616211,5.911489805556269e-05,0,8.294732618214027e-06,6.740963067377672e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:38:46,codecarbon,4a8524b4-60cb-45ed-943f-72a15083299a,5.0083749999994325,2.3873019190539813e-05,4.766619750027208e-06,42.5,0.0,5.971029281616211,5.912393166666764e-05,0,8.294359594744473e-06,6.741829126141211e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:39:34,codecarbon,7c520d87-367b-4dcf-863f-2b1922299b2f,5.0082352999997966,2.387250810663816e-05,4.766650661688985e-06,42.5,0.0,5.971029281616211,5.912274875000208e-05,0,8.294099191523871e-06,6.741684794152595e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:41:21,codecarbon,994c291c-da67-4ff4-9cb7-fa415082c60f,5.00794120000046,2.3871316666720904e-05,4.7666926813595e-06,42.5,0.0,5.971029281616211,5.911946916667085e-05,0,8.294014104357368e-06,6.741348327102822e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:42:46,codecarbon,3cf5e366-d08c-4612-ae1d-7aae7d80f351,5.008746399999836,2.387437796424473e-05,4.76653758398419e-06,42.5,0.0,5.971029281616211,5.912806479165814e-05,0,8.294063697071779e-06,6.742212848872992e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
